Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,22/06/2018,"3,2321046","0,86%","R$ 0,00","R$ 0,00","R$ 13.118.660,01",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,21/06/2018,"3,2044857","-2,28%","R$ 0,00","R$ 0,00","R$ 13.006.558,72",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,20/06/2018,"3,2791514","0,50%","R$ 0,00","R$ 0,00","R$ 13.309.616,67",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,19/06/2018,"3,2627829","2,06%","R$ 0,00","R$ 0,00","R$ 13.243.178,99",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,18/06/2018,"3,1968305","-1,07%","R$ 0,00","R$ 0,00","R$ 12.975.487,61",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,15/06/2018,"3,2313393","-0,97%","R$ 0,00","R$ 0,00","R$ 13.115.553,76",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,14/06/2018,"3,2631542","-1,09%","R$ 0,00","R$ 0,00","R$ 13.244.686,25",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,13/06/2018,"3,2991774","-0,31%","R$ 0,00","R$ 0,00","R$ 13.390.899,29",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,12/06/2018,"3,3094386","0,49%","R$ 0,00","R$ 0,00","R$ 13.432.548,13",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,11/06/2018,"3,2931964","-1,15%","R$ 0,00","R$ 0,00","R$ 13.366.623,25",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,08/06/2018,"3,3315242","0,36%","R$ 0,00","R$ 0,00","R$ 13.522.190,31",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,07/06/2018,"3,3195616","-3,10%","R$ 0,00","R$ 0,00","R$ 13.473.635,93",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,06/06/2018,"3,4258296","-1,65%","R$ 0,00","R$ 0,00","R$ 13.904.962,67",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,05/06/2018,"3,4834283","-2,44%","R$ 0,00","R$ 0,00","R$ 14.138.748,02",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,04/06/2018,"3,5705394","1,84%","R$ 0,00","R$ 0,00","R$ 14.492.319,67",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,01/06/2018,"3,5058584","1,42%","R$ 0,00","R$ 0,00","R$ 14.229.788,51",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,30/05/2018,"3,4566711","1,26%","R$ 0,00","R$ 0,00","R$ 14.030.144,30",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,29/05/2018,"3,4135858","0,40%","R$ 0,00","R$ 0,00","R$ 13.855.266,76",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,28/05/2018,"3,3999022","-3,09%","R$ 0,00","R$ 0,00","R$ 13.799.727,11",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,25/05/2018,"3,508292","-1,20%","R$ 0,00","R$ 0,00","R$ 14.239.666,23",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,24/05/2018,"3,5510355","0,18%","R$ 0,00","R$ 0,00","R$ 14.413.156,19",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,23/05/2018,"3,544511","-1,87%","R$ 0,00","R$ 0,00","R$ 14.386.673,92",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,22/05/2018,"3,6119355","2,05%","R$ 0,00","R$ 0,00","R$ 14.660.340,65",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,21/05/2018,"3,539491","-0,23%","R$ 0,00","R$ 0,00","R$ 14.366.298,35",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,18/05/2018,"3,5475066","-0,48%","R$ 0,00","R$ 0,00","R$ 14.398.832,57",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,17/05/2018,"3,5645908","-2,18%","R$ 0,00","R$ 0,00","R$ 14.468.175,18",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,16/05/2018,"3,6441169","0,97%","R$ 0,00","R$ 0,00","R$ 14.790.960,29",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,15/05/2018,"3,6090028","-0,44%","R$ 0,00","R$ 0,00","R$ 14.648.437,36",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,14/05/2018,"3,6248297","-1,06%","R$ 0,00","R$ 0,00","R$ 14.712.676,54",5
