Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,21/01/2016,"1,67279171","0,05%","R$ 0,00","R$ 0,00","R$ 4.832.573,49",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/01/2016,"1,67188064","0,05%","R$ 0,00","R$ 0,00","R$ 4.829.941,49",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,19/01/2016,"1,67097024","0,05%","R$ 0,00","R$ 0,00","R$ 4.827.311,41",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,18/01/2016,"1,67006035","0,05%","R$ 0,00","R$ 0,00","R$ 4.824.682,78",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,15/01/2016,"1,66919071","0,05%","R$ 0,00","R$ 0,00","R$ 4.822.170,46",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,14/01/2016,"1,66828209","0,05%","R$ 0,00","R$ 0,00","R$ 4.819.545,54",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/01/2016,"1,66737407","0,05%","R$ 0,00","R$ 0,00","R$ 4.816.922,33",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,12/01/2016,"1,6664667","0,05%","R$ 0,00","R$ 0,00","R$ 4.814.300,99",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,11/01/2016,"1,6655599","-0,01%","R$ 0,00","R$ 0,00","R$ 4.811.681,32",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,08/01/2016,"1,66579066","0,06%","R$ 0,00","R$ 0,00","R$ 4.812.347,98",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,07/01/2016,"1,66487335","0,06%","R$ 0,00","R$ 0,00","R$ 4.809.697,94",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/01/2016,"1,66395658","0,06%","R$ 0,00","R$ 0,00","R$ 4.807.049,44",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,05/01/2016,"1,66304038","-0,06%","R$ 0,00","R$ 0,00","R$ 4.804.402,61",0
